Id,WhoId,WhatId,Subject,ActivityDate,Status,IsClosed,Type,OwnerId,CreatedDate
00T000001,00Q000006,,Email - Lead 06,2024-03-06,In Progress,False,Call,005C001,2024-03-06
00T000002,00Q000006,,Meeting - Lead 06,2024-03-04,In Progress,False,Follow-up,005C001,2024-03-04
00T000003,00Q000007,,Meeting - Lead 07,2024-03-23,Completed,True,Call,005B002,2024-03-23
00T000004,00Q000008,,Follow-up - Lead 08,2024-03-25,Completed,True,Call,005B002,2024-03-25
00T000005,00Q000008,,Email - Lead 08,2024-04-06,In Progress,False,Meeting,005B002,2024-04-06
00T000006,00Q000009,,Follow-up - Lead 09,2024-04-14,In Progress,False,Call,005A001,2024-04-14
00T000007,00Q000009,,Email - Lead 09,2024-04-09,In Progress,False,Follow-up,005A001,2024-04-09
00T000008,00Q000010,,Meeting - Lead 10,2024-04-29,In Progress,False,Email,005B001,2024-04-29
00T000009,00Q000010,,Follow-up - Lead 10,2024-04-23,Completed,True,Meeting,005B001,2024-04-23
00T000010,00Q000011,,Meeting - Lead 11,2024-05-02,In Progress,False,Email,005B002,2024-05-02
00T000011,00Q000012,,Call - Lead 12,2024-05-15,Completed,True,Call,005A003,2024-05-15
00T000012,00Q000012,,Call - Lead 12,2024-05-08,Not Started,False,Call,005A003,2024-05-08
00T000013,00Q000013,,Call - Lead 13,2024-05-28,Completed,True,Call,005A003,2024-05-28
00T000014,00Q000014,,Call - Lead 14,2024-06-09,Completed,True,Meeting,005A001,2024-06-09
00T000015,00Q000015,,Email - Lead 15,2024-06-16,Completed,True,Meeting,005B002,2024-06-16
00T000016,00Q000015,,Follow-up - Lead 15,2024-06-05,Completed,True,Email,005B002,2024-06-05
00T000017,00Q000019,,Follow-up - Lead 19,2024-07-16,Completed,True,Meeting,005C001,2024-07-16
00T000018,00Q000020,,Call - Lead 20,2024-08-05,Not Started,False,Email,005C001,2024-08-05
00T000019,00Q000020,,Call - Lead 20,2024-07-23,In Progress,False,Email,005C001,2024-07-23
00T000020,00Q000021,,Follow-up - Lead 21,2024-08-02,In Progress,False,Meeting,005B002,2024-08-02
