"Page","VisualId","VisualType","Role","ProjectionIndex","Entity","Property","FieldKind","QueryRef","VisualPath"
"How to win — Growth targets","840d15d968590519","cardVisual","Values","1","fact_market_potential","MS Target RI Value","Measure","Sum(fact_market_potential.MS Target RI Value)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\840d15d968590519\visual.json"
"How to win — Growth targets","a36d40b5e06e3e90","cardVisual","Values","1","fact_market_potential","MS Units to Reach RI 50","Measure","Sum(fact_market_potential.MS Units to Reach RI 50)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\a36d40b5e06e3e90\visual.json"
"How to win — Growth targets","af4f412b3c3461fe","cardVisual","Values","1","fact_market_potential","MS Target RI Label","Measure","Sum(fact_market_potential.MS Target RI Label)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\af4f412b3c3461fe\visual.json"
"How to win — Growth targets","c5febc546c90bda6","cardVisual","Values","1","fact_market_potential","MS Units to Reach RI 100","Measure","Sum(fact_market_potential.MS Units to Reach RI 100)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\c5febc546c90bda6\visual.json"
"How to win — Growth targets","e0bb108433062c54","cardVisual","Values","1","fact_market_potential","MS Units to Reach RI 75","Measure","Sum(fact_market_potential.MS Units to Reach RI 75)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\e0bb108433062c54\visual.json"
"How to win — Growth targets","e7af0ae69bcf94ae","cardVisual","Values","1","fact_market_potential","MS Units to Reach RI 150","Measure","Sum(fact_market_potential.MS Units to Reach RI 150)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\e7af0ae69bcf94ae\visual.json"
"How to win — Growth targets","178fb5bb44318f12","slicer","Field","1","Shp_Dim_Country_Hierarchy","Country Text","Column","Shp_Dim_Country_Hierarchy.Country Text","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\178fb5bb44318f12\visual.json"
"How to win — Growth targets","3f296e77ab84e45e","slicer","Field","1","Target RI","Value","Column","Target RI.Value","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\3f296e77ab84e45e\visual.json"
"How to win — Growth targets","7199ce22e6b71bf7","slicer","Field","1","Dim_Cust","Customer Name","Column","Dim_Cust.Customer Name","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\7199ce22e6b71bf7\visual.json"
"How to win — Growth targets","d2c796926b978d6f","slicer","Field","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\d2c796926b978d6f\visual.json"
"How to win — Growth targets","54c0bbc8daf70d63","stackedBarChart","Category","1","dim_terumo_category","terumo_category","Column","dim_terumo_category.terumo_category","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\54c0bbc8daf70d63\visual.json"
"How to win — Growth targets","54c0bbc8daf70d63","stackedBarChart","Y","1","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\54c0bbc8daf70d63\visual.json"
"How to win — Growth targets","54c0bbc8daf70d63","stackedBarChart","Y","2","fact_market_potential","MS Units to Target","Measure","Sum(fact_market_potential.MS Units to Target)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\54c0bbc8daf70d63\visual.json"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","1","Dim_Cust","Customer Name","Column","Dim_Cust.Customer Name","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","2","fact_market_potential","MS Realization Index","Measure","Sum(fact_market_potential.MS Realization Index)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","3","fact_market_potential","Pot Realized Qty","Measure","Sum(fact_market_potential.Pot Realized Qty)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","4","fact_market_potential","Pot Total Potential Units","Measure","Sum(fact_market_potential.Pot Total Potential Units)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
"How to win — Growth targets","1c8dab52f908c568","tableEx","Values","5","fact_market_potential","MS Units to Target","Measure","Sum(fact_market_potential.MS Units to Target)","C:\Users\adebo\reports\market-share-dashboard\MarketShare.Report\definition\pages\a20d73e7c3c08981\visuals\1c8dab52f908c568\visual.json"
