"Entity","Kind","Property"
"bridge_procedure_to_terumo","Column","mapping_row_count"
"bridge_procedure_to_terumo","Column","procedure_group"
"bridge_procedure_to_terumo","Column","procedure_group_key"
"bridge_procedure_to_terumo","Column","qty_units_per_procedure"
"bridge_procedure_to_terumo","Column","terumo_category"
"bridge_procedure_to_terumo","Column","terumo_category_key"
"bridge_procedure_to_terumo","Column","usage_rate_final"
"DATA","Column","Currency"
"DATA","Column","Customer"
"DATA","Column","Customer Name"
"DATA","Column","Date"
"DATA","Column","Deemed Cost"
"DATA","Column","Final Destination"
"DATA","Column","Final Destination Text"
"DATA","Column","Final_Material"
"DATA","Column","Fiscal year"
"DATA","Column","FxtoEUR"
"DATA","Column","FxtoLC"
"DATA","Column","Index_Branch_CountryFinalDestination"
"DATA","Column","Index_FxRates"
"DATA","Column","Net Sales Actual"
"DATA","Column","Net Sales Plan (EUR)"
"DATA","Column","Net Sales Qty Actual"
"DATA","Column","Net Sales Qty Plan"
"DATA","Column","OIH Amt"
"DATA","Column","OIH Qty"
"DATA","Column","Product Hierarchy Final"
"DATA","Column","Profit Center"
"DATA","Column","Record Type"
"DATA","Column","SalesAssignmentID"
"DATA","Column","Value Type for Reporting Text"
"DATA","Measure","100pct"
"DATA","Measure","Before_last_sales_month"
"DATA","Measure","Gauge Achvt Max"
"DATA","Measure","Gauge Achvt Minimum"
"DATA","Measure","Gauge Achvt Target"
"DATA","Measure","Gauge GP% Max"
"DATA","Measure","Gauge GP% Min"
"DATA","Measure","Gauge GP% Target"
"DATA","Measure","Gauge Growth Max"
"DATA","Measure","Gauge Growth Minimum"
"DATA","Measure","Gauge Growth Target"
"Data_SA","Column","Corrected_mail"
"Data_SA","Column","Index_Reps_ProductAreaCode"
"Data_SA","Column","Key Account Manager"
"Data_SA","Column","Key Account Manager Mail"
"Data_SA","Column","Key Account Manager Name"
"Data_SA","Column","Sales Representative Code"
"Data_SA","Column","Sales Representative Mail"
"Data_SA","Column","Sales Representative Mail - Copy"
"Data_SA","Column","Sales Representative Mail Final"
"Data_SA","Column","Sales Representative Name"
"Data_SA","Column","Sales Reps Level"
"Data_SA","Column","SalesAssignmentID"
"Data_SA","Measure","Branch & KAM Name"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","Date"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","Day"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","Month"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","MonthNo"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","Quarter"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","QuarterNo"
"DateTableTemplate_e20fe435-e4f8-43e5-9355-03ec51a1f6e6","Column","Year"
"Dim_Cal","Column","Calendar Year"
"Dim_Cal","Column","Date"
"Dim_Cal","Column","Fiscal Month"
"Dim_Cal","Column","Fiscal Quarter Number"
"Dim_Cal","Column","Fiscal Year"
"Dim_Cal","Column","IsCurrentMonth"
"Dim_Cal","Column","MMM"
