region_group,country_code,country_name,country_iso2,country_text,customer_id_,customer_id,customer_name,customer_segment,Final Destination,Final Destination Text,year,procedure_group,terumo_category,terumo_category_key,qty_units_per_procedure,mapping_row_count,procedures,usage_rate_final,mapping_cardinality,allocation_weight,customer_market_key,final_destination_key
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Neurovascular Intervention,Microcatheters,TC006,2.0,1,1087,0.95,2,0.5,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Neurovascular Intervention,Guide Wires,TC002,2.0,1,1087,0.9,2,0.5,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Electrophysiology,Diagnostic Catheters,TC005,3.0,1,1368,0.8,2,0.5,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Electrophysiology,Introducer Sheaths,TC007,1.0,1,1368,0.75,2,0.5,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Guiding Catheters,TC001,1.2,1,327,0.95,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Guide Wires,TC002,2.0,1,327,0.98,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,PTCA Balloon Catheters,TC003,1.5,1,327,0.85,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Drug-Eluting Stents,TC004,1.3,1,327,0.7,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Inflation Devices,TC009,1.0,1,327,0.9,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Hemostasis Valves,TC008,1.0,1,327,0.8,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,PCI - Coronary,Radial Access Kits,TC010,1.0,1,327,0.6,7,0.1429,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Diagnostic Angiography,Diagnostic Catheters,TC005,2.0,1,2540,0.95,5,0.2,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Diagnostic Angiography,Guide Wires,TC002,1.5,1,2540,0.9,5,0.2,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Diagnostic Angiography,Introducer Sheaths,TC007,1.0,1,2540,0.85,5,0.2,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Diagnostic Angiography,Hemostasis Valves,TC008,1.0,1,2540,0.7,5,0.2,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100001,100001,Universitätsklinikum Berlin,University Hospital,200001,FD Universitätsklinikum Berlin,2024,Diagnostic Angiography,Radial Access Kits,TC010,1.0,1,2540,0.5,5,0.2,CM_100001,FD_200001
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Complex,Guiding Catheters,TC001,1.5,1,494,0.98,5,0.2,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Complex,Guide Wires,TC002,3.0,1,494,0.99,5,0.2,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Complex,PTCA Balloon Catheters,TC003,2.0,1,494,0.9,5,0.2,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Complex,Drug-Eluting Stents,TC004,2.0,1,494,0.8,5,0.2,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Complex,Microcatheters,TC006,1.0,1,494,0.65,5,0.2,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Guiding Catheters,TC001,1.2,1,145,0.95,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Guide Wires,TC002,2.0,1,145,0.98,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,PTCA Balloon Catheters,TC003,1.5,1,145,0.85,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Drug-Eluting Stents,TC004,1.3,1,145,0.7,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Inflation Devices,TC009,1.0,1,145,0.9,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Hemostasis Valves,TC008,1.0,1,145,0.8,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,PCI - Coronary,Radial Access Kits,TC010,1.0,1,145,0.6,7,0.1429,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Electrophysiology,Diagnostic Catheters,TC005,3.0,1,803,0.8,2,0.5,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Electrophysiology,Introducer Sheaths,TC007,1.0,1,803,0.75,2,0.5,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Structural Heart,Introducer Sheaths,TC007,2.0,1,503,0.85,2,0.5,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Structural Heart,Guide Wires,TC002,1.0,1,503,0.7,2,0.5,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Peripheral Intervention,Guide Wires,TC002,2.5,1,763,0.9,3,0.3333,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Peripheral Intervention,Introducer Sheaths,TC007,1.5,1,763,0.8,3,0.3333,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100002,100002,Klinikum Munich,University Hospital,200002,FD Klinikum Munich,2024,Peripheral Intervention,PTCA Balloon Catheters,TC003,1.0,1,763,0.6,3,0.3333,CM_100002,FD_200002
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Complex,Guiding Catheters,TC001,1.5,1,1913,0.98,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Complex,Guide Wires,TC002,3.0,1,1913,0.99,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Complex,PTCA Balloon Catheters,TC003,2.0,1,1913,0.9,5,0.2,CM_100003,FD_200003
Central Europe,DE,Central Europe,DE,Central Europe,100003,100003,Herzzentrum Hamburg,University Hospital,200003,FD Herzzentrum Hamburg,2024,PCI - Complex,Drug-Eluting Stents,TC004,2.0,1,1913,0.8,5,0.2,CM_100003,FD_200003
