SAP Nb,Cardio Segmentation
100001,D - Tactical
100002,B - Important
100003,C - Standard
100004,D - Tactical
100005,B - Important
100006,C - Standard
100007,B - Important
100008,D - Tactical
100009,A - Strategic
100010,D - Tactical
100011,C - Standard
100012,A - Strategic
100013,B - Important
100014,B - Important
100015,B - Important
100016,D - Tactical
100017,B - Important
100018,B - Important
100019,B - Important
100020,D - Tactical
100021,C - Standard
100022,A - Strategic
100023,B - Important
100024,D - Tactical
100025,B - Important
100026,A - Strategic
100027,C - Standard
100028,C - Standard
100029,B - Important
100030,A - Strategic
100031,B - Important
100032,C - Standard
100033,D - Tactical
100034,D - Tactical
100035,D - Tactical
100036,A - Strategic
100037,A - Strategic
100038,C - Standard
100039,A - Strategic
100040,C - Standard
100041,C - Standard
100042,B - Important
100043,D - Tactical
100044,D - Tactical
100045,C - Standard
100046,A - Strategic
100047,C - Standard
100048,D - Tactical
100049,B - Important
100050,D - Tactical
100051,C - Standard
100052,C - Standard
100053,D - Tactical
100054,D - Tactical
100055,A - Strategic
100056,B - Important
100057,D - Tactical
100058,B - Important
100059,B - Important
100060,A - Strategic
100061,C - Standard
100062,B - Important
100063,B - Important
100064,B - Important
100065,B - Important
100066,C - Standard
100067,A - Strategic
100068,B - Important
100069,D - Tactical
100070,C - Standard
100071,A - Strategic
100072,D - Tactical
100073,D - Tactical
100074,D - Tactical
100075,B - Important
100076,B - Important
100077,D - Tactical
100078,A - Strategic
100079,B - Important
100080,A - Strategic
100081,B - Important
100082,B - Important
100083,B - Important
100084,A - Strategic
100085,B - Important
100086,A - Strategic
100087,B - Important
100088,C - Standard
100089,B - Important
100090,D - Tactical
100091,A - Strategic
100092,C - Standard
100093,A - Strategic
100094,B - Important
100095,D - Tactical
100096,D - Tactical
100097,D - Tactical
100098,B - Important
100099,B - Important
100100,D - Tactical
100101,B - Important
100102,B - Important
100103,C - Standard
100104,B - Important
100105,C - Standard
100106,D - Tactical
100107,A - Strategic
100108,B - Important
100109,D - Tactical
100110,D - Tactical
100111,B - Important
100112,A - Strategic
100113,A - Strategic
100114,B - Important
100115,D - Tactical
100116,B - Important
100117,A - Strategic
100118,B - Important
100119,D - Tactical
100120,A - Strategic
