SAP Nb,IO Segmentation
100001,Maintain
100002,Develop
100003,Focus
100004,Focus
100005,Not Active
100006,Not Active
100007,Develop
100008,Focus
100009,Maintain
100010,Not Active
100011,Not Active
100012,Focus
100013,Maintain
100014,Develop
100015,Maintain
100016,Focus
100017,Maintain
100018,Maintain
100019,Focus
100020,Develop
100021,Maintain
100022,Focus
100023,Maintain
100024,Focus
100025,Develop
100026,Not Active
100027,Develop
100028,Not Active
100029,Not Active
100030,Maintain
100031,Focus
100032,Focus
100033,Focus
100034,Develop
100035,Develop
100036,Develop
100037,Develop
100038,Maintain
100039,Maintain
100040,Not Active
100041,Not Active
100042,Focus
100043,Develop
100044,Maintain
100045,Not Active
100046,Focus
100047,Focus
100048,Develop
100049,Develop
100050,Focus
100051,Develop
100052,Develop
100053,Not Active
100054,Not Active
100055,Not Active
100056,Maintain
100057,Develop
100058,Not Active
100059,Not Active
100060,Focus
100061,Not Active
100062,Focus
100063,Develop
100064,Focus
100065,Not Active
100066,Maintain
100067,Maintain
100068,Develop
100069,Not Active
100070,Develop
100071,Focus
100072,Develop
100073,Maintain
100074,Develop
100075,Focus
100076,Not Active
100077,Develop
100078,Focus
100079,Maintain
100080,Not Active
100081,Develop
100082,Develop
100083,Maintain
100084,Develop
100085,Maintain
100086,Maintain
100087,Not Active
100088,Maintain
100089,Maintain
100090,Maintain
100091,Develop
100092,Maintain
100093,Maintain
100094,Maintain
100095,Maintain
100096,Develop
100097,Maintain
100098,Focus
100099,Focus
100100,Focus
100101,Not Active
100102,Focus
100103,Focus
100104,Not Active
100105,Develop
100106,Develop
100107,Not Active
100108,Develop
100109,Not Active
100110,Maintain
100111,Develop
100112,Not Active
100113,Maintain
100114,Maintain
100115,Focus
100116,Not Active
100117,Not Active
100118,Focus
100119,Develop
100120,Not Active
