SAP Nb,PI Segmentation
100001,Tier 3
100002,Tier 3
100003,Tier 1
100004,Tier 1
100005,Tier 2
100006,Tier 3
100007,Tier 1
100008,Tier 3
100009,Tier 3
100010,Tier 1
100011,Tier 3
100012,Tier 3
100013,Tier 2
100014,Tier 3
100015,Tier 2
100016,Tier 2
100017,Tier 1
100018,Tier 3
100019,Tier 3
100020,Tier 2
100021,Tier 1
100022,Tier 2
100023,Tier 2
100024,Tier 2
100025,Tier 3
100026,Tier 3
100027,Tier 3
100028,Tier 3
100029,Tier 1
100030,Tier 2
100031,Tier 1
100032,Tier 2
100033,Tier 2
100034,Tier 1
100035,Tier 1
100036,Tier 2
100037,Tier 3
100038,Tier 3
100039,Tier 2
100040,Tier 2
100041,Tier 1
100042,Tier 1
100043,Tier 3
100044,Tier 3
100045,Tier 1
100046,Tier 3
100047,Tier 3
100048,Tier 1
100049,Tier 3
100050,Tier 1
100051,Tier 2
100052,Tier 3
100053,Tier 1
100054,Tier 3
100055,Tier 2
100056,Tier 2
100057,Tier 2
100058,Tier 1
100059,Tier 1
100060,Tier 2
100061,Tier 3
100062,Tier 3
100063,Tier 2
100064,Tier 2
100065,Tier 3
100066,Tier 2
100067,Tier 3
100068,Tier 2
100069,Tier 3
100070,Tier 2
100071,Tier 3
100072,Tier 2
100073,Tier 1
100074,Tier 2
100075,Tier 3
100076,Tier 3
100077,Tier 2
100078,Tier 1
100079,Tier 2
100080,Tier 3
100081,Tier 3
100082,Tier 2
100083,Tier 2
100084,Tier 2
100085,Tier 3
100086,Tier 2
100087,Tier 3
100088,Tier 2
100089,Tier 3
100090,Tier 1
100091,Tier 3
100092,Tier 1
100093,Tier 3
100094,Tier 1
100095,Tier 2
100096,Tier 3
100097,Tier 1
100098,Tier 1
100099,Tier 1
100100,Tier 3
100101,Tier 2
100102,Tier 2
100103,Tier 3
100104,Tier 3
100105,Tier 3
100106,Tier 3
100107,Tier 3
100108,Tier 1
100109,Tier 1
100110,Tier 2
100111,Tier 3
100112,Tier 1
100113,Tier 1
100114,Tier 1
100115,Tier 2
100116,Tier 3
100117,Tier 2
100118,Tier 1
100119,Tier 1
100120,Tier 2
